_num,_widgetName,_source,_resultNumber,_pageUrl,ranking,provincia,espectadores,salas,recaudacion
1,CineRecProv,CineRecProv,1,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,1,Madrid,18.909.903,543,136.060.06830 €
53,CineRecProv,CineRecProv,1,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,1,Madrid,22.499.481,598,138.085.15045 €
105,CineRecProv,CineRecProv,1,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,1,Madrid,23.357.429,556,153.073.06192 €
157,CineRecProv,CineRecProv,1,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,1,Madrid,20.390.724,549,141.707.84434 €
209,CineRecProv,CineRecProv,1,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,1,Madrid,21.169.620,570,148.964.80027 €
2,CineRecProv,CineRecProv,2,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,2,Barcelona,14.424.036,522,100.016.86152 €
54,CineRecProv,CineRecProv,2,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,2,Barcelona,17.317.829,513,108.518.66243 €
106,CineRecProv,CineRecProv,2,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,2,Barcelona,17.473.873,511,115.494.83593 €
158,CineRecProv,CineRecProv,2,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,2,Barcelona,15.324.891,535,104.975.23534 €
210,CineRecProv,CineRecProv,2,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,2,Barcelona,15.584.933,523,109.014.95419 €
3,CineRecProv,CineRecProv,3,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,3,Valencia,5.860.124,219,37.033.30360 €
55,CineRecProv,CineRecProv,3,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,3,Valencia,7.054.177,238,40.004.95126 €
107,CineRecProv,CineRecProv,3,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,3,Valencia,7.176.703,226,42.707.06465 €
159,CineRecProv,CineRecProv,3,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,3,Valencia,6.151.458,215,38.624.00822 €
211,CineRecProv,CineRecProv,3,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,3,Valencia,6.555.815,225,41.464.27919 €
4,CineRecProv,CineRecProv,4,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,4,ALICANTE,3.867.044,205,22.760.43405 €
56,CineRecProv,CineRecProv,4,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,4,Alicante,4.557.515,220,24.483.88294 €
108,CineRecProv,CineRecProv,4,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,4,Alicante,4.604.161,212,25.800.66294 €
160,CineRecProv,CineRecProv,4,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,4,ALICANTE,4.007.823,197,23.702.12159 €
212,CineRecProv,CineRecProv,4,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,4,Alicante,4.188.137,206,24.874.21811 €
5,CineRecProv,CineRecProv,5,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,5,Málaga,3.466.327,165,22.424.68040 €
57,CineRecProv,CineRecProv,5,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,5,Málaga,4.045.444,175,23.122.17256 €
109,CineRecProv,CineRecProv,5,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,5,Málaga,3.942.199,175,24.527.78263 €
161,CineRecProv,CineRecProv,5,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,5,Málaga,3.489.373,174,23.256.59210 €
213,CineRecProv,CineRecProv,5,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,5,Málaga,3.611.480,174,24.304.29982 €
6,CineRecProv,CineRecProv,6,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,6,SEVILLA,3.369.454,154,20.943.86818 €
58,CineRecProv,CineRecProv,6,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,6,Sevilla,3.866.836,168,20.404.27280 €
110,CineRecProv,CineRecProv,6,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,6,Sevilla,3.480.951,166,19.685.30550 €
162,CineRecProv,CineRecProv,6,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,6,SEVILLA,3.513.595,163,22.057.26606 €
214,CineRecProv,CineRecProv,6,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,6,Sevilla,3.668.749,167,22.871.19202 €
7,CineRecProv,CineRecProv,7,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,7,Murcia,2.731.074,145,16.739.31811 €
59,CineRecProv,CineRecProv,7,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,7,Islas Baleares,2.978.100,98,16.762.51809 €
111,CineRecProv,CineRecProv,7,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,7,Murcia,3.123.841,142,17.695.28370 €
163,CineRecProv,CineRecProv,7,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,7,Murcia,2.870.957,147,17.511.13846 €
215,CineRecProv,CineRecProv,7,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,7,Murcia,2.933.378,138,17.783.66401 €
8,CineRecProv,CineRecProv,8,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,8,Vizcaya,2.529.724,96,16.161.82159 €
60,CineRecProv,CineRecProv,8,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,8,Murcia,2.990.978,144,15.927.42855 €
112,CineRecProv,CineRecProv,8,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,8,Vizcaya,2.852.058,108,17.213.19318 €
164,CineRecProv,CineRecProv,8,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,8,Islas Baleares,2.688.575,93,16.344.80977 €
216,CineRecProv,CineRecProv,8,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,8,Vizcaya,2.687.357,118,17.159.14254 €
9,CineRecProv,CineRecProv,9,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,9,Islas Baleares,2.528.073,90,15.541.61468 €
61,CineRecProv,CineRecProv,9,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,9,Vizcaya,2.761.602,110,15.560.65938 €
113,CineRecProv,CineRecProv,9,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,9,Islas Baleares,2.555.544,96,15.091.54167 €
165,CineRecProv,CineRecProv,9,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,9,Vizcaya,2.546.616,106,16.054.28662 €
217,CineRecProv,CineRecProv,9,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,9,Islas Baleares,2.749.661,97,16.989.88187 €
10,CineRecProv,CineRecProv,10,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,10,Las Palmas,2.407.868,79,13.914.36434 €
62,CineRecProv,CineRecProv,10,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,10,Las Palmas,2.385.528,80,13.174.26806 €
114,CineRecProv,CineRecProv,10,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,10,Gerona,2.252.530,93,14.293.48954 €
166,CineRecProv,CineRecProv,10,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,10,Las Palmas,2.360.249,82,14.213.82087 €
218,CineRecProv,CineRecProv,10,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,10,Las Palmas,2.224.043,93,13.737.26646 €
11,CineRecProv,CineRecProv,11,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,11,Zaragoza,2.213.271,91,13.151.25639 €
63,CineRecProv,CineRecProv,11,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,11,Gerona,2.214.682,92,13.144.61815 €
115,CineRecProv,CineRecProv,11,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,11,Las Palmas,2.379.281,86,14.237.95100 €
167,CineRecProv,CineRecProv,11,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,11,Zaragoza,2.276.402,80,13.574.78039 €
219,CineRecProv,CineRecProv,11,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,11,Zaragoza,2.242.428,80,13.611.38712 €
12,CineRecProv,CineRecProv,12,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,12,Cádiz,2.205.297,121,13.057.22631 €
64,CineRecProv,CineRecProv,12,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,12,Cádiz,2.634.755,127,12.651.19460 €
116,CineRecProv,CineRecProv,12,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,12,Zaragoza,2.317.569,79,13.989.72390 €
168,CineRecProv,CineRecProv,12,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,12,Cádiz,2.295.422,123,13.330.98439 €
220,CineRecProv,CineRecProv,12,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,12,Cádiz,2.414.490,127,13.427.80537 €
13,CineRecProv,CineRecProv,13,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,13,A Coruña,1.815.631,93,11.879.80429 €
65,CineRecProv,CineRecProv,13,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,13,Tarragona,1.919.162,110,11.633.01484 €
117,CineRecProv,CineRecProv,13,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,13,Cádiz,2.647.700,127,13.541.62602 €
169,CineRecProv,CineRecProv,13,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,13,Girona,1.883.041,92,12.467.97289 €
221,CineRecProv,CineRecProv,13,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,13,Gerona,1.942.116,91,12.942.64382 €
14,CineRecProv,CineRecProv,14,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,14,Tarragona,1.706.166,113,11.438.92352 €
66,CineRecProv,CineRecProv,14,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,14,Santa Cruz de Tenerife,1.953.142,72,11.227.05378 €
118,CineRecProv,CineRecProv,14,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,14,Tarragona,1.988.930,121,12.680.51449 €
170,CineRecProv,CineRecProv,14,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,14,Tarragona,1.824.625,113,12.111.02664 €
222,CineRecProv,CineRecProv,14,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,14,Tarragona,1.872.363,115,12.647.81840 €
15,CineRecProv,CineRecProv,15,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,15,Girona,1.624.170,91,10.902.82226 €
67,CineRecProv,CineRecProv,15,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,15,Zaragoza,1.886.736,51,10.951.09938 €
119,CineRecProv,CineRecProv,15,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,15,La Coruña,2.003.592,74,12.167.20965 €
171,CineRecProv,CineRecProv,15,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,15,A Coruña,1.787.499,85,11.788.92371 €
223,CineRecProv,CineRecProv,15,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,15,La Coruña,1.794.507,73,12.021.37207 €
16,CineRecProv,CineRecProv,16,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,16,Santa Cruz de Tenerife,1.707.721,66,10.616.68089 €
68,CineRecProv,CineRecProv,16,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,16,La Coruña,1.880.593,66,10.516.03525 €
120,CineRecProv,CineRecProv,16,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,16,Santa Cruz de Tenerife,1.881.904,68,11.623.46964 €
172,CineRecProv,CineRecProv,16,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,16,Santa Cruz de Tenerife,1.713.010,68,11.150.45239 €
224,CineRecProv,CineRecProv,16,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,16,Santa Cruz de Tenerife,1.710.160,68,11.495.19269 €
17,CineRecProv,CineRecProv,17,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,17,Asturias,1.558.261,76,10.472.75803 €
69,CineRecProv,CineRecProv,17,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,17,Asturias,1.759.829,76,10.303.58536 €
121,CineRecProv,CineRecProv,17,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,17,Asturias,1.802.864,76,11.316.41090 €
173,CineRecProv,CineRecProv,17,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,17,Asturias,1.635.164,76,10.884.87529 €
225,CineRecProv,CineRecProv,17,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,17,Asturias,1.600.597,76,10.818.23650 €
18,CineRecProv,CineRecProv,18,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,18,Guipúzcoa,1.569.484,76,9.804.60584 €
70,CineRecProv,CineRecProv,18,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,18,Guipúzcoa,1.565.314,71,9.092.53301 €
122,CineRecProv,CineRecProv,18,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,18,Granada,1.914.982,61,10.276.69900 €
174,CineRecProv,CineRecProv,18,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,18,Granada,1.661.555,53,9.598.30194 €
226,CineRecProv,CineRecProv,18,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,18,Granada,1.746.943,52,10.116.95011 €
19,CineRecProv,CineRecProv,19,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,19,Granada,1.604.914,59,9.348.32392 €
71,CineRecProv,CineRecProv,19,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,19,Granada,1.742.003,48,8.686.32890 €
123,CineRecProv,CineRecProv,19,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,19,Guipúzcoa,1.624.529,71,9.760.80610 €
175,CineRecProv,CineRecProv,19,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,19,Pontevedra,1.298.712,62,8.691.16743 €
227,CineRecProv,CineRecProv,19,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,19,Guipúzcoa,1.565.561,75,9.930.26018 €
20,CineRecProv,CineRecProv,20,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,20,Pontevedra,1.318.646,62,8.840.79592 €
72,CineRecProv,CineRecProv,20,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,20,Navarra,1.527.216,75,8.485.47344 €
124,CineRecProv,CineRecProv,20,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,20,Pontevedra,1.488.812,65,9.156.34945 €
176,CineRecProv,CineRecProv,20,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,20,Guipúzcoa,1.381.834,79,8.616.05242 €
228,CineRecProv,CineRecProv,20,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,20,Navarra,1.429.950,76,9.109.58150 €
21,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,21,Navarra,1.364.101,76,8.552.13917 €
73,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,21,Pontevedra,1.424.027,68,8.165.49070 €
125,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,21,Navarra,1.526.099,75,8.982.18649 €
177,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,21,Navarra,1.322.421,78,8.150.73880 €
229,CineRecProv,CineRecProv,21,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,21,Pontevedra,1.301.423,64,8.915.26700 €
22,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,22,Valladolid,1.059.744,65,6.449.03744 €
74,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,22,Valladolid,1.305.488,70,6.685.37610 €
126,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,22,Valladolid,1.259.870,70,6.688.22180 €
178,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,22,Cantabria,1.106.634,37,6.380.54901 €
230,CineRecProv,CineRecProv,22,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,22,Valladolid,1.180.623,56,6.964.42390 €
23,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,23,Cantabria,1.060.281,36,6.335.98703 €
75,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,23,Cantabria,1.142.144,44,6.170.26183 €
127,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,23,Córdoba,1.170.323,60,6.392.88215 €
179,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,23,Córdoba,1.055.791,56,6.341.28746 €
231,CineRecProv,CineRecProv,23,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,23,Córdoba,1.093.252,53,6.573.95962 €
24,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,24,Córdoba,1.073.863,55,6.333.92392 €
76,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,24,Córdoba,1.183.876,60,5.802.76790 €
128,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,24,Cantabria,1.044.649,35,6.035.55370 €
180,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,24,Valladolid,1.030.879,55,6.145.15291 €
232,CineRecProv,CineRecProv,24,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,24,Cantabria,1.071.242,36,6.353.20824 €
25,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,25,Castellón,913.041,49,5.810.13435 €
77,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,25,Castellón,985.338,53,5.711.44940 €
129,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,25,Castellón,1.018.350,48,5.999.09310 €
181,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,25,Castellón,930.860,49,5.837.04570 €
233,CineRecProv,CineRecProv,25,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,25,Castellón,962.814,49,6.094.23359 €
26,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,26,Almería,894.968,39,5.266.77123 €
78,CineRecProv,CineRecProv,26,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,26,Almería,1.050.373,46,4.945.53125 €
